algorithm,group_type,group,strict_correct,strict_total,strict_rank1_percent,matcher_correct,matcher_total,matcher_rank1_percent,no_face,unusable
lpq_w7,transform,scale_90,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,skew_10,8,28,28.571428571428573,8,28,28.571428571428573,0,0
lpq_w7,transform,skew_4,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,transform,skew_6,7,28,25.0,7,28,25.0,0,0
lpq_w7,transform,trans_10,1,28,3.5714285714285716,1,28,3.5714285714285716,0,0
lpq_w7,transform,trans_20,2,28,7.142857142857143,2,28,7.142857142857143,0,0
lpq_w7,transform,trans_30,0,28,0.0,0,25,0.0,3,0
lpq_w7,category,Aspect ratio change,12,56,21.428571428571427,12,56,21.428571428571427,0,0
lpq_w7,category,Auto-levels,6,28,21.428571428571427,6,28,21.428571428571427,0,0
lpq_w7,category,Blur,19,84,22.61904761904762,19,84,22.61904761904762,0,0
lpq_w7,category,Brightness change,18,84,21.428571428571427,18,84,21.428571428571427,0,0
lpq_w7,category,Colour reduction,10,56,17.857142857142858,10,51,19.607843137254903,5,0
lpq_w7,category,Colour to monochrome,5,28,17.857142857142858,5,26,19.23076923076923,2,0
lpq_w7,category,Crop,13,84,15.476190476190476,13,84,15.476190476190476,0,0
lpq_w7,category,Flip,3,28,10.714285714285714,3,28,10.714285714285714,0,0
